DiabetesSTDEV,Lila 1 and 10,pop 2010,Urban,LowIncomeTracts,Average of percent,Average of lower confidence limit,Average of upper confidence limit,Statelist,CONCAT
0,1,70217,1,1,9.3625,7.4125,11.65,11,403
1,1,23316,0,1,12.05,9.3875,15.2375,11,404
0,0,23655,0,0,10.9875,8.2875,14.325,11,405
1,1,6694,0,1,12.4375,9.525,16.0625,11,406
0,0,50513,1,0,10,7.7375,12.7375,11,407
1,0,10998,0,1,11.6875,8.9125,15.125,11,408
0,0,110527,1,1,10.8375,8.4,13.7375,11,409
0,0,63942,1,0,10.5375,8.0125,13.525,11,410
0,0,12171,0,1,10.45,7.925,13.5875,11,411
0,0,265128,1,1,10.95,9.1375,12.9375,11,412
0,0,11267,1,0,6.6625,4.675,9.3375,11,413
0,1,26015,1,1,10.75,8.0625,14.0375,11,414
0,0,214346,1,0,7.6875,6.125,9.525,11,415
0,0,116714,1,1,8.2,6.4875,10.225,11,416
1,0,3183,0,1,15.5125,12.075,19.5875,11,417
0,0,259424,1,1,10.65,9.0875,12.3875,11,418
1,0,6798,0,1,11.6375,8.7625,15.1375,11,419
0,0,688078,1,0,8.2125,6.9125,9.6125,11,420
0,0,42356,0,1,11.1,8.65,14.025,11,421
0,1,45498,0,1,11.0625,8.6625,13.8625,11,422
0,0,124053,1,0,9.225,7.3625,11.375,11,423
1,0,17212,0,1,11.7,9.075,14.875,11,424
0,0,127317,1,0,9.9875,7.725,12.65,11,425
0,0,12630,0,0,11.125,8.4,14.4875,11,426
1,0,23439,0,1,12.275,9.5625,15.5125,11,427
0,0,16633,0,1,10.6125,7.7875,14.125,11,428
0,0,22330,0,0,9.5875,7,12.8875,11,429
1,0,27842,0,1,11.6875,9.2375,14.5125,11,430
0,0,691893,1,0,8.9125,7.6125,10.35,11,431
1,0,21796,0,1,12.4625,9.95,15.375,11,432
1,1,14918,1,1,12.1375,9.375,15.45,11,433
1,0,94565,1,1,13.05,10.7,15.7625,11,434
0,0,132403,1,0,9.975,7.825,12.5875,11,435
1,0,11008,0,1,13.05,10.175,16.4375,11,436
0,0,4034,0,1,8.9625,6.3625,12.3125,11,437
0,0,52250,0,0,9.675,7.3375,12.5125,11,438
1,0,20166,0,1,12.375,9.65,15.625,11,439
1,1,22598,0,1,11.9125,9.225,15.25,11,440
1,0,11000,0,1,11.775,9.0125,15.075,11,441
0,0,23682,0,1,11.4,8.625,14.725,11,442
0,0,106567,1,0,10.9125,8.525,13.7125,11,443
0,0,96317,1,1,10.225,8.0375,12.7875,11,444
0,0,175511,1,0,8.2875,6.4875,10.45,11,445
0,0,22084,0,1,10.3375,7.7625,13.4625,11,446
0,0,920581,1,0,8.125,6.95,9.45,11,447
0,0,28292,0,1,10.4125,7.7625,13.625,11,448
0,1,3082,0,1,10.9875,7.9625,14.8,11,449
0,0,79626,1,0,10.7125,8.4875,13.2375,11,450
0,0,55186,0,1,9.0375,6.7125,11.85,11,451
0,0,25011,0,1,11.475,8.9375,14.575,11,452
